[INFO]2022/09/23 16:26:08 core.go:65: data upload success.
[INFO]2022/09/23 16:28:34 core.go:65: data upload success.
[INFO]2022/09/23 16:31:27 core.go:65: data upload success.
[INFO]2022/09/23 16:33:59 core.go:65: data upload success.
[INFO]2022/09/23 16:36:24 core.go:65: data upload success.
[INFO]2022/09/23 16:39:05 core.go:65: data upload success.
[INFO]2022/09/23 16:41:30 core.go:65: data upload success.
[INFO]2022/09/23 16:44:06 core.go:65: data upload success.
[INFO]2022/09/23 16:46:42 core.go:65: data upload success.
[INFO]2022/09/23 16:49:11 core.go:65: data upload success.
[INFO]2022/09/26 09:11:49 core.go:64: nuclei installed.
[INFO]2022/11/14 11:28:49 core.go:64: nuclei installed.
[INFO]2022/11/14 11:35:49 core.go:64: nuclei installed.
[INFO]2022/12/02 15:55:34 core.go:64: nuclei installed.
[INFO]2022/12/02 16:37:36 core.go:64: nuclei installed.
